,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
31475,38,175000,12,2,2,2,0,42,21,65,25,0,0,2,36-40,"N101,000 - N250,000",Bank J,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31476,38,175000,13,2,2,2,0,60,28,72,26,12,14,2,36-40,"N101,000 - N250,000",Bank G,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31477,38,25000,15,6,30,0.5,0,6,0,-20,-19,22,0,0,36-40,"Below N50,000",Bank P,Female,Bank P,Lagos,Primary School leaving certificate,Self Employed,No,,
31478,33,25000,6,6,30,0,0,77,21,0,9,7,7,0,31-35,"Below N50,000",Bank K,Female,Bank K,Lagos,Secondary school leaving certificate,Self Employed,No,,
31483,19,25000,1,0.5,2,0,0,16,30,-13,28,6,8,0,18-20,"Below N50,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Student,No,,
31486,19,25000,2,0.5,2,0.5,0,50,20,40,20,40,0,0,18-20,"Below N50,000",Bank H,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31487,19,25000,3,0.5,2,0.5,0,40,30,180,50,0,20,3,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31491,33,25000,10,6,30,0,0,69,36,115,33,41,30,3,31-35,"Below N50,000",Bank H,Female,,Lagos,No Response,Self Employed,No,,
31496,19,75000,4,6,30,0.5,30,72,10,10,7,28,7,1,18-20,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31497,25.5,75000,2,2,2,0.5,0.5,46,9,43,10,0,6,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31504,25.5,25000,4,0.5,6,0.5,6,-22,-18,-8,16,-4,0,0,21-30,"Below N50,000",Bank B,Male,,Lagos,Bachelor's Decree,Self Employed,No,,
31505,19,25000,1,6,6,0,2,-36,-22,-41,20,-10,0,0,18-20,"Below N50,000",Bank D,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31506,19,25000,5,6,6,0,2,-34,-11,25,30,30,10,0,18-20,"Below N50,000",Bank G,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31507,19,25000,2,6,6,0,2,36,33,129,50,30,30,3,18-20,"Below N50,000",Bank C,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31508,19,25000,3,6,6,0,2,36,33,144,60,50,30,3,18-20,"Below N50,000",Bank I,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31513,19,25000,5,0.5,6,0,0,-2,-6,-27,-18,-16,0,0,18-20,"Below N50,000",Bank A,Male,Bank A,Lagos,Bachelor's Decree,Student,Yes,Bank A,Bank G
31519,50.5,375000,20,6,6,0.5,0,54,36,108,40,50,20,2,41-60,"N251,000 - N500,000",Bank B,Female,,Lagos,Primary School leaving certificate,Civil/Public Servant,No,,
31520,50.5,375000,17,6,6,0.5,0,63,36,126,60,20,20,2,41-60,"N251,000 - N500,000",Bank A,Female,,Lagos,Primary School leaving certificate,Civil/Public Servant,No,,
31522,25.5,175000,4,0.5,6,6,6,5,18,88,35,35,14,3,21-30,"N101,000 - N250,000",Bank D,Female,Bank B,Lagos,Master's Degree,Private Sector Employee,No,,
31523,25.5,175000,3,0.5,6,6,6,29,18,76,7,21,7,0,21-30,"N101,000 - N250,000",Bank B,Female,Bank B,Lagos,Master's Degree,Private Sector Employee,No,,
31524,25.5,175000,3,0.5,6,6,6,29,0,-11,7,7,7,0,21-30,"N101,000 - N250,000",Bank C,Female,Bank B,Lagos,Master's Degree,Private Sector Employee,No,,
31528,19,25000,1,30,30,2,30,42,38,58,0,0,0,1,18-20,"Below N50,000",Bank O,Female,Bank O,Lagos,Secondary school leaving certificate,Student,Yes,Bank C,Bank H
31530,33,75000,7,2,6,0.5,30,10,-30,-61,-30,-30,0,1,31-35,"N50,000 - N100,000",Bank F,Female,Bank E,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31531,33,75000,10,2,6,0.5,30,30,30,56,20,30,10,1,31-35,"N50,000 - N100,000",Bank E,Female,Bank E,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31532,33,375000,10,2,6,6,2,80,30,10,18,16,4,2,31-35,"N251,000 - N500,000",Bank C,Female,,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31533,33,375000,5,2,6,6,2,70,30,120,18,28,0,3,31-35,"N251,000 - N500,000",Bank B,Female,,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31534,19,25000,2,0.5,0.5,0.5,6,13,4,61,8,6,8,0,18-20,"Below N50,000",Bank H,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31535,19,25000,3,0.5,0.5,0.5,6,8,5,12,10,19,4,0,18-20,"Below N50,000",Bank L,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31536,33,75000,3,2,6,0.5,2,40,30,110,26,36,21,3,31-35,"N50,000 - N100,000",Bank H,Male,Bank C,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31537,33,75000,9,2,6,0.5,2,60,30,110,18,18,14,3,31-35,"N50,000 - N100,000",Bank B,Male,Bank C,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31538,33,75000,5,2,6,0.5,2,60,30,110,26,18,7,3,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31539,33,75000,7,2,6,0.5,2,50,40,110,35,54,0,3,31-35,"N50,000 - N100,000",Bank A,Male,Bank C,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31540,25.5,25000,5,0.5,6,0,0,32,18,40,8,16,30,0,21-30,"Below N50,000",Bank K,Male,Bank K,Lagos,Bachelor's Decree,Student,No,,
31541,25.5,25000,5,0.5,6,0,0,53,12,20,24,8,20,0,21-30,"Below N50,000",Bank A,Male,Bank K,Lagos,Bachelor's Decree,Student,No,,
31546,25.5,25000,3,6,30,0.5,0.5,14,5,37,8,14,0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31547,25.5,25000,3,6,30,0.5,0.5,24,20,36,24,21,8,0,21-30,"Below N50,000",Bank B,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31551,25.5,750000,1,0.5,6,0.5,2,9,9,70,32,32,24,3,21-30,"N501,000 - N1 Million",Bank H,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31552,19,25000,3,2,6,0.5,30,50,29,69,42,35,21,1,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31553,19,25000,1,2,6,0.5,30,30,23,98,28,7,14,1,18-20,"Below N50,000",Bank E,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31555,19,25000,1,6,6,0.5,0.5,-8,60,48,37,60,30,3,18-20,"Below N50,000",Bank A,Male,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
31556,25.5,25000,5,0.5,6,2,2,19,30,58,30,6,12,0,21-30,"Below N50,000",Bank H,Female,Bank H,Lagos,Secondary school leaving certificate,Student,No,,
31557,25.5,25000,2,0.5,6,2,2,19,30,44,20,12,18,0,21-30,"Below N50,000",Bank C,Female,Bank H,Lagos,Secondary school leaving certificate,Student,No,,
31558,25.5,25000,1,0.5,6,2,2,19,0,48,20,12,12,0,21-30,"Below N50,000",Bank A,Female,Bank H,Lagos,Secondary school leaving certificate,Student,No,,
31560,50.5,175000,10,6,6,0,2,15,0,56,7,14,0,2,41-60,"N101,000 - N250,000",Bank D,Male,Bank D,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31561,50.5,175000,10,6,6,0,2,-1,-17,17,14,0,7,0,41-60,"N101,000 - N250,000",Bank G,Male,Bank D,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31562,19,75000,5,2,30,0,0,38,42,-41,35,0,4,0,18-20,"N50,000 - N100,000",Bank A,Male,Bank A,Lagos,Bachelor's Decree,Student,No,,
31563,19,75000,5,2,30,0,0,32,14,-51,7,-12,8,0,18-20,"N50,000 - N100,000",Bank B,Male,Bank A,Lagos,Bachelor's Decree,Student,No,,
31564,19,75000,3,2,30,0,0,26,21,-69,42,-12,4,0,18-20,"N50,000 - N100,000",Bank C,Male,Bank A,Lagos,Bachelor's Decree,Student,No,,
31565,19,75000,4,2,30,0,0,21,14,-56,14,36,4,0,18-20,"N50,000 - N100,000",Bank H,Male,Bank A,Lagos,Bachelor's Decree,Student,No,,
31567,25.5,25000,2,0.5,2,0.5,0,25,7,-18,-3,0,0,0,21-30,"Below N50,000",Bank K,Male,Bank K,Lagos,Secondary school leaving certificate,Student,No,,
31568,25.5,25000,5,6,6,0.5,0.5,14,15,37,10,0,0,0,21-30,"Below N50,000",Bank A,Female,Bank A,Lagos,OND/HND,Student,No,,
31572,50.5,175000,20,0.5,6,2,6,90,40,130,21,14,21,2,41-60,"N101,000 - N250,000",Bank F,Female,,Lagos,OND/HND,Private Sector Employee,No,,
31573,50.5,175000,15,0.5,6,2,6,100,60,130,21,14,14,2,41-60,"N101,000 - N250,000",Bank E,Female,,Lagos,OND/HND,Private Sector Employee,No,,
31575,25.5,25000,5,2,0.5,0,0,78,29,88,14,28,6,3,21-30,"Below N50,000",Bank H,Male,Bank B,Lagos,OND/HND,Student,No,,
31576,25.5,25000,6,2,0.5,0,0,88,22,90,8,28,12,3,21-30,"Below N50,000",Bank B,Male,Bank B,Lagos,OND/HND,Student,No,,
31577,50.5,175000,15,6,6,0,0,32,16,48,16,16,8,2,41-60,"N101,000 - N250,000",Bank C,Female,,Lagos,OND/HND,Civil/Public Servant,No,,
31585,25.5,25000,1,2,6,0,2,0,4,39,28,21,0,0,21-30,"Below N50,000",Bank H,Male,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
31586,25.5,25000,8,2,6,0,2,6,16,21,21,21,21,0,21-30,"Below N50,000",Bank B,Male,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
31587,25.5,25000,3,2,6,0,2,2,20,21,28,14,14,0,21-30,"Below N50,000",Bank C,Male,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
31588,25.5,25000,1,2,6,0,2,4,6,66,28,0,14,0,21-30,"Below N50,000",Bank A,Male,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
31590,38,175000,1,2,6,0,0,14,7,8,28,7,0,0,36-40,"N101,000 - N250,000",Bank H,Female,Bank B,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31591,38,175000,10,2,6,0,0,14,7,24,21,7,7,0,36-40,"N101,000 - N250,000",Bank B,Female,Bank B,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31593,33,75000,12,2,30,6,0.5,73,41,102,19,18,18,3,31-35,"N50,000 - N100,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Self Employed,No,,
31594,33,75000,6,2,30,6,0.5,62,32,61,10,18,18,3,31-35,"N50,000 - N100,000",Bank C,Male,Bank H,Lagos,Bachelor's Decree,Self Employed,No,,
31595,33,175000,8,2,6,6,0,35,12,84,20,0,10,0,31-35,"N101,000 - N250,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31596,33,175000,12,2,6,6,0,-21,-12,-77,-30,-20,-10,0,31-35,"N101,000 - N250,000",Bank L,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31597,33,175000,15,2,6,6,0,28,12,56,20,20,10,2,31-35,"N101,000 - N250,000",Bank J,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31598,25.5,175000,3,6,2,2,6,-10,20,30,30,-10,0,0,21-30,"N101,000 - N250,000",Bank P,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31599,25.5,175000,10,6,2,2,6,0,-30,-80,10,-30,-10,0,21-30,"N101,000 - N250,000",Bank O,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31602,33,175000,2,0.5,6,6,2,26,20,74,6,13,16,0,31-35,"N101,000 - N250,000",Bank N,Male,Bank N,Lagos,Master's Degree,Private Sector Employee,No,,
31603,33,175000,8,0.5,6,6,2,72,50,85,0,0,8,3,31-35,"N101,000 - N250,000",Bank P,Male,Bank N,Lagos,Master's Degree,Private Sector Employee,No,,
31608,25.5,25000,8,2,6,0.5,0,40,24,98,7,12,21,3,21-30,"Below N50,000",Bank H,Female,Bank H,Lagos,Secondary school leaving certificate,Private Sector Employee,No,,
31609,25.5,25000,5,2,6,0.5,0,45,8,106,14,6,21,3,21-30,"Below N50,000",Bank G,Female,Bank H,Lagos,Secondary school leaving certificate,Private Sector Employee,No,,
31610,38,75000,10,2,6,2,2,0,0,-36,10,-5,-5,0,36-40,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Master's Degree,Private Sector Employee,No,,
31611,38,75000,12,2,6,2,2,18,16,56,10,0,5,0,36-40,"N50,000 - N100,000",Bank A,Male,Bank C,Lagos,Master's Degree,Private Sector Employee,No,,
31614,38,75000,12,0.5,6,6,2,70,-20,-120,-10,-30,-10,0,36-40,"N50,000 - N100,000",Bank C,Female,Bank N,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31619,65,175000,10,2,6,6,2,33,9,72,24,26,0,2,Above 60,"N101,000 - N250,000",Bank B,Male,Bank A,Lagos,Master's Degree,Self Employed,No,,
31620,65,175000,20,2,6,6,2,51,9,63,12,13,6,2,Above 60,"N101,000 - N250,000",Bank A,Male,Bank A,Lagos,Master's Degree,Self Employed,No,,
31621,25.5,75000,5,2,6,0.5,2,18,6,4,5,6,4,0,21-30,"N50,000 - N100,000",Bank B,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31622,25.5,75000,7,2,6,0.5,2,19,6,11,5,8,4,0,21-30,"N50,000 - N100,000",Bank K,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31625,38,375000,10,2,6,30,6,50,20,50,30,50,10,1,36-40,"N251,000 - N500,000",Bank J,Male,Bank C,Lagos,Master's Degree,Self Employed,No,,
31626,38,375000,12,2,6,30,6,100,60,180,60,60,30,3,36-40,"N251,000 - N500,000",Bank C,Male,Bank C,Lagos,Master's Degree,Self Employed,No,,
31628,25.5,25000,5,0.5,6,0.5,0,20,0,0,-10,20,10,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,OND/HND,Student,No,,
31629,25.5,25000,3,0.5,6,0.5,0,30,10,10,0,10,0,0,21-30,"Below N50,000",Bank F,Male,Bank C,Lagos,OND/HND,Student,No,,
31640,33,375000,5,0.5,6,6,6,60,30,38,12,12,7,0,31-35,"N251,000 - N500,000",Bank N,Female,Bank C,Lagos,Master's Degree,Self Employed,No,,
31641,33,375000,10,0.5,6,6,6,60,30,40,24,12,0,2,31-35,"N251,000 - N500,000",Bank C,Female,Bank C,Lagos,Master's Degree,Self Employed,No,,
31651,50.5,25000,7,6,30,0.5,0,12,0,-40,6,6,0,0,41-60,"Below N50,000",Bank J,Female,Bank G,Lagos,No Response,Others,No,,
31652,19,25000,2,2,30,0,0.5,46,-10,23,60,30,10,0,18-20,"Below N50,000",Bank C,Male,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
31653,19,25000,3,2,30,0,0.5,4,-30,4,60,10,0,0,18-20,"Below N50,000",Bank A,Male,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
31658,33,175000,10,2,6,2,0.5,52,27,32,26,16,8,2,31-35,"N101,000 - N250,000",Bank B,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31659,33,175000,4,2,6,2,0.5,1,17,36,26,16,8,0,31-35,"N101,000 - N250,000",Bank N,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31660,33,175000,2,2,6,2,0.5,22,27,74,18,32,8,3,31-35,"N101,000 - N250,000",Bank H,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31661,33,175000,6,2,6,2,0.5,15,7,1,36,32,8,0,31-35,"N101,000 - N250,000",Bank C,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31665,38,175000,10,2,6,30,0.5,46,30,83,27,18,18,1,36-40,"N101,000 - N250,000",Bank C,Female,Bank M,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31666,33,175000,10,2,6,6,6,50,20,60,20,20,10,3,31-35,"N101,000 - N250,000",Bank H,Female,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31667,33,175000,7,2,6,6,6,50,20,60,20,20,10,3,31-35,"N101,000 - N250,000",Bank D,Female,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31668,50.5,375000,12,6,6,2,0.5,29,27,63,21,21,21,2,41-60,"N251,000 - N500,000",Bank J,Female,Bank J,Lagos,Master's Degree,Self Employed,No,,
31669,50.5,375000,12,6,6,2,0.5,69,36,-9,21,21,14,2,41-60,"N251,000 - N500,000",Bank E,Female,Bank J,Lagos,Master's Degree,Self Employed,No,,
31670,33,75000,9,2,2,2,2,80,50,110,60,30,10,3,31-35,"N50,000 - N100,000",Bank G,Female,Bank C,Lagos,OND/HND,Self Employed,No,,
31671,33,75000,12,2,2,2,2,30,20,-20,60,30,10,2,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Lagos,OND/HND,Self Employed,No,,
31672,38,175000,10,2,6,6,6,16,20,140,7,14,9,2,36-40,"N101,000 - N250,000",Bank J,Female,Bank J,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank C,Bank H
31673,38,175000,13,2,6,6,6,-30,-30,-100,-19,-28,-9,0,36-40,"N101,000 - N250,000",Bank C,Female,Bank J,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank C,Bank H
31674,25.5,75000,1,0.5,6,6,30,26,14,53,7,24,24,1,21-30,"N50,000 - N100,000",Bank H,Female,,Lagos,No Response,Student,No,,
31675,25.5,75000,7,0.5,6,6,30,8,-20,-37,0,6,0,1,21-30,"N50,000 - N100,000",Bank C,Female,,Lagos,No Response,Student,No,,
31676,25.5,75000,4,0.5,6,6,30,33,30,-51,0,6,0,1,21-30,"N50,000 - N100,000",Bank E,Female,,Lagos,No Response,Student,No,,
31677,25.5,75000,9,0.5,6,6,30,50,34,127,14,24,24,1,21-30,"N50,000 - N100,000",Bank A,Female,,Lagos,No Response,Student,No,,
31678,38,175000,10,2,6,2,0.5,52,27,32,26,16,8,2,36-40,"N101,000 - N250,000",Bank B,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31679,38,175000,4,2,6,2,0.5,1,17,36,26,16,8,0,36-40,"N101,000 - N250,000",Bank N,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31680,38,175000,2,2,6,2,0.5,22,27,74,18,32,8,3,36-40,"N101,000 - N250,000",Bank H,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31681,38,175000,6,2,6,2,0.5,15,7,1,36,32,8,0,36-40,"N101,000 - N250,000",Bank C,Male,Bank B,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31689,25.5,75000,5,6,2,0.5,0,12,14,46,0,-10,-10,0,21-30,"N50,000 - N100,000",Bank H,Male,Bank D,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31690,25.5,75000,4,6,2,0.5,0,13,7,59,-36,-10,0,0,21-30,"N50,000 - N100,000",Bank D,Male,Bank D,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31691,25.5,75000,5,6,2,0.5,0,-1,7,45,-36,-10,-10,0,21-30,"N50,000 - N100,000",Bank J,Male,Bank D,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31695,19,25000,4,2,6,2,2,54,40,50,36,0,18,3,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31696,19,25000,2,2,6,2,2,-10,20,50,18,18,0,0,18-20,"Below N50,000",Bank A,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31697,19,25000,1,2,6,2,2,32,0,60,18,36,9,0,18-20,"Below N50,000",Bank D,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31698,19,25000,4,2,30,0.5,2,-30,-14,47,0,24,6,0,18-20,"Below N50,000",Bank B,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31699,19,25000,1,2,30,0.5,2,-24,0,4,0,12,12,0,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31707,38,175000,2,6,30,30,30,20,0,10,30,20,10,1,36-40,"N101,000 - N250,000",Bank J,Male,Bank J,Lagos,OND/HND,Private Sector Employee,No,,
31708,38,175000,5,6,30,30,30,30,10,90,30,10,0,1,36-40,"N101,000 - N250,000",Bank C,Male,Bank J,Lagos,OND/HND,Private Sector Employee,No,,
31709,38,175000,8,6,30,30,30,30,10,-20,10,20,0,1,36-40,"N101,000 - N250,000",Bank N,Male,Bank J,Lagos,OND/HND,Private Sector Employee,No,,
31717,33,75000,8,0.5,6,0.5,6,108,54,134,40,-10,10,3,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Lagos,Master's Degree,Private Sector Employee,No,,
31718,33,75000,3,0.5,6,0.5,6,36,18,48,20,-10,0,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank C,Lagos,Master's Degree,Private Sector Employee,No,,
31719,19,25000,4,6,6,0,0,-25,-20,20,20,-10,10,0,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Bachelor's Decree,Student,No,,
31723,33,25000,9,0.5,6,0.5,0,66,19,60,30,30,0,3,31-35,"Below N50,000",Bank A,Male,Bank A,Lagos,OND/HND,Private Sector Employee,No,,
31726,33,175000,4,2,2,0.5,30,77,20,81,37,33,0,1,31-35,"N101,000 - N250,000",Bank G,Male,Bank G,Lagos,Master's Degree,Private Sector Employee,No,,
31727,33,175000,2,2,2,0.5,30,77,20,93,22,43,20,1,31-35,"N101,000 - N250,000",Bank F,Male,Bank G,Lagos,Master's Degree,Private Sector Employee,No,,
31728,33,175000,1,2,2,0.5,30,68,20,100,23,25,20,1,31-35,"N101,000 - N250,000",Bank K,Male,Bank G,Lagos,Master's Degree,Private Sector Employee,No,,
31735,25.5,175000,10,0.5,6,0.5,6,20,-10,4,10,0,0,0,21-30,"N101,000 - N250,000",Bank L,Male,Bank K,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31736,25.5,175000,6,0.5,6,0.5,6,80,50,124,20,0,0,3,21-30,"N101,000 - N250,000",Bank K,Male,Bank K,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31737,25.5,25000,7,2,0.5,0.5,30,30,40,62,30,4,7,1,21-30,"Below N50,000",Bank J,Male,Bank N,Lagos,OND/HND,Student,No,,
31738,25.5,25000,1,2,0.5,0.5,30,60,40,86,40,12,7,1,21-30,"Below N50,000",Bank C,Male,Bank N,Lagos,OND/HND,Student,No,,
31739,25.5,25000,3,2,0.5,0.5,30,70,10,94,30,14,14,1,21-30,"Below N50,000",Bank N,Male,Bank N,Lagos,OND/HND,Student,No,,
31747,19,25000,10,0.5,30,0,0,57,7,36,48,60,30,3,18-20,"Below N50,000",Bank L,Female,Bank L,Lagos,Secondary school leaving certificate,Student,No,,
31750,19,25000,10,0.5,30,0,0,57,7,36,48,60,30,3,18-20,"Below N50,000",Bank L,Female,Bank L,Lagos,Secondary school leaving certificate,Student,No,,
31756,33,25000,3,6,2,2,0,29,20,44,20,20,10,0,31-35,"Below N50,000",Bank A,Female,Bank A,Lagos,OND/HND,Private Sector Employee,No,,
31774,33,75000,5,0.5,2,0.5,0,16,-8,-40,8,-8,-16,0,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank L,Bank C
31775,33,175000,1,0.5,6,6,30,38,0,55,40,20,0,1,31-35,"N101,000 - N250,000",Bank B,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31776,33,175000,8,0.5,6,6,30,20,0,53,20,0,0,1,31-35,"N101,000 - N250,000",Bank P,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31777,33,175000,4,0.5,6,6,30,20,0,29,20,0,0,1,31-35,"N101,000 - N250,000",Bank A,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31801,25.5,25000,3,0.5,30,0.5,6,120,60,180,60,60,30,3,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Secondary school leaving certificate,No Response,No,,
31804,25.5,75000,6,2,6,2,0.5,24,-12,14,16,0,0,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank A,Bank N
31805,25.5,75000,2,2,6,2,0.5,0,-12,7,16,0,0,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank C,Lagos,Bachelor's Decree,Private Sector Employee,Yes,Bank A,Bank N
31807,33,75000,3,6,30,0,30,-30,-16,-3,-11,-12,-6,1,31-35,"N50,000 - N100,000",Bank C,Male,,Lagos,OND/HND,Student,No,,
31829,38,75000,7,2,6,0,0.5,13,15,27,6,0,-4,0,36-40,"N50,000 - N100,000",Bank B,Female,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
31830,38,75000,3,2,6,0,0.5,19,24,74,6,6,-4,0,36-40,"N50,000 - N100,000",Bank C,Female,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
31833,25.5,25000,2,2,6,0.5,0.5,13,-8,25,0,-7,0,0,21-30,"Below N50,000",Bank H,Female,Bank H,Lagos,OND/HND,Student,No,,
31834,25.5,25000,4,2,6,0.5,0.5,13,-16,25,0,-7,0,0,21-30,"Below N50,000",Bank C,Female,Bank H,Lagos,OND/HND,Student,No,,
31835,25.5,25000,1,2,30,0.5,6,5,16,25,0,0,0,0,21-30,"Below N50,000",Bank H,Female,Bank C,Lagos,OND/HND,Student,No,,
31836,25.5,25000,2,2,30,0.5,6,5,16,25,0,0,0,0,21-30,"Below N50,000",Bank D,Female,Bank C,Lagos,OND/HND,Student,No,,
31837,25.5,25000,5,2,30,0.5,6,5,16,25,0,0,0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Lagos,OND/HND,Student,No,,
31894,38,75000,1,6,6,6,30,-10,10,-36,0,-20,0,1,36-40,"N50,000 - N100,000",Bank D,Male,,Lagos,Bachelor's Decree,Self Employed,Yes,Bank L,
31895,38,75000,1,6,6,6,30,-90,-57,-162,-51,-60,-30,0,36-40,"N50,000 - N100,000",Bank L,Male,,Lagos,Bachelor's Decree,Self Employed,Yes,Bank L,
31896,38,75000,1,6,6,6,30,90,19,54,0,20,10,1,36-40,"N50,000 - N100,000",Bank B,Male,,Lagos,Bachelor's Decree,Self Employed,Yes,Bank L,
31897,38,75000,1,6,6,6,30,40,19,27,0,0,10,1,36-40,"N50,000 - N100,000",Bank C,Male,,Lagos,Bachelor's Decree,Self Employed,Yes,Bank L,
31902,25.5,25000,5,0.5,6,6,2,120,20,90,40,40,20,3,21-30,"Below N50,000",Bank A,Female,Bank A,Lagos,Bachelor's Decree,Student,No,,
31903,25.5,25000,4,0.5,6,6,2,30,40,-40,0,30,20,0,21-30,"Below N50,000",Bank C,Female,Bank A,Lagos,Bachelor's Decree,Student,No,,
31904,25.5,25000,2,0.5,6,6,2,90,50,180,10,20,10,3,21-30,"Below N50,000",Bank H,Female,Bank A,Lagos,Bachelor's Decree,Student,No,,
31906,19,25000,2,0.5,30,0,0,58,20,51,20,20,10,0,18-20,"Below N50,000",Bank D,Female,Bank D,Lagos,Secondary school leaving certificate,Private Sector Employee,No,,
